Ad Product 2.0 --> Content 1.0								
Ad Product 2.0					Content 1.0			
Name	Unique ID	Tier 1	Tier 2	Tier 3	Name	Content 1.0 ID	Tier 1	Tier 2
Refrigerated	1229	Consumer Packaged Goods	Refrigerated		Food & Drink	IAB8	Food & Drink	
Dairy	1230	Consumer Packaged Goods	Refrigerated	Dairy	Food & Drink	IAB8	Food & Drink	
Refrigerated Baked Goods	1231	Consumer Packaged Goods	Refrigerated	Refrigerated Baked Goods	Desserts & Baking	IAB8-8	Food & Drink	Desserts & Baking
Refrigerated Beverages	1232	Consumer Packaged Goods	Refrigerated	Refrigerated Beverages	Food & Drink	IAB8	Food & Drink	
Refrigerated Condiments	1233	Consumer Packaged Goods	Refrigerated	Refrigerated Condiments	Food & Drink	IAB8	Food & Drink	
Refrigerated Desserts	1234	Consumer Packaged Goods	Refrigerated	Refrigerated Desserts	Desserts & Baking	IAB8-8	Food & Drink	Desserts & Baking
Refrigerated Dough	1235	Consumer Packaged Goods	Refrigerated	Refrigerated Dough	Desserts & Baking	IAB8-8	Food & Drink	Desserts & Baking
Refrigerated Meals	1236	Consumer Packaged Goods	Refrigerated	Refrigerated Meals	Food & Drink	IAB8	Food & Drink	
Refrigerated Meats	1237	Consumer Packaged Goods	Refrigerated	Refrigerated Meats	Food & Drink	IAB8	Food & Drink	
Refrigerated Miscellaneous	1238	Consumer Packaged Goods	Refrigerated	Refrigerated Miscellaneous	Food & Drink	IAB8	Food & Drink	
Religious Items	1239	Consumer Packaged Goods	Religious Items		Religion & Spirituality	IAB23	Religion & Spirituality	
